movieCd,movieNm,openDt
20070487,이브의 유혹 - 엔젤,20070730
20070194,천상고원,20070531
20070169,살결,20070510
20070098,숨,20070426
20070096,눈부신 날에,20070419
20070099,천년학,20070412
20070082,내 여자의 남자친구,20070322
20070007,여름이 가기 전에,20070125
20070287,알게 될 거야,20070702
20081494,국내단편 걸작선4_장준환+윤성호,20070907
20081497,국내단편 걸작선7_임창재+손광주,20070907
20081498,국내단편 걸작선8_이성강+이애림,20070907
20081499,국내단편 걸작선9_문소리+정보훈,20070907
20081492,국내단편 걸작선2_김태용+민규동+김종관,20070907
20081493,국내단편 걸작선3_정지우+양해훈,20070907
20081495,국내단편 걸작선5_이수연+원,20070907
20081496,국내단편 걸작선6_김동원+최진성,20070907
20081500,국내단편 걸작선10_박혁권+양익준,20070907
20081491,국내단편 걸작선1_박찬욱+이경미,20070907
20081504,Cinema 상상마당의 추천 단편4-조영각:그들의 16mm 단편영화,20070907
20081503,Cinema 상상마당의 추천 단편3-김조광수:퀴어영화,20070907
20081502,Cinema 상상마당의 추천 단편2-곽용수:新 사랑에 관한 짧은 필름,20070907
20081501,Cinema 상상마당의 추천 단편1-배주연:성장영화,20070907
20081473,함경록의 단편영화,20070920
20070288,금요단편극장,20070623
20070678,11월 금요단편극장,20071123
20071057,12월 금요단편극장-내 인생의 단편 Best,20071228
20071058,작가를 만나다-영화집단 곡사 신작 모음,20071229
20080132,청강문화산업대학 디지털영상디자인과 졸업영상제,20071115
20080131,한양영화제,20070209
20070477,Dima Prism 2 - 날개짓,20070930
20070479,Dima Choice 2 - 단편 모음,20070930
20070476,Dima Prism 1 - 단편모음,20070930
20070464,국내단편걸작선,20070907
20070140,애니충격전,20070430
20080833,다찌마와리,20080814
20080052,밤과 낮,20080228
20050086,사과,20081016
20071068,별별 이야기 2-여섯 빛깔 무지개,20080417
20070548,6년째 연애중,20080205
20070591,나의 노래는,20080424
20070589,여기보다 어딘가에,20080821
20081391,미쓰 홍당무,20081016
20081395,아내가 결혼했다,20081023
20072152,"좋은 놈, 나쁜 놈, 이상한 놈 ",20080717
20080637,서양 골동 양과자점 앤티크,20081113
20080834,당신이 잠든 사이에,20080814
20080142,마이 뉴 파트너,20080306
20071060,걸스카우트,20080605
20061223,소년은 울지 않는다,20081106
20070382,우리 생애 최고의 순간,20080110
20080259,작별,20080327
20080649,해바라기 가족,20080509
20081002,멋진 하루,20080925
20081273,두 개의 눈을 가진 아일랜드,20080918
20080011,원스어폰어타임,20080131
20080394,비스티 보이즈,20080430
20081244,울학교 이티,20080911
20080046,추격자,20080214
20080890,순정만화,20081127
20072686,모던보이,20081002
20072067,어느날 그 길에서,20080327
20081611,미인도,20081113
20080846,인디애니박스:셀마의 단백질 커피,20080620
20080222,나도 모르게,20080320
20080226,숙명,20080320
20061233,쇼킹패밀리,20080508
20080677,우린 액션배우다,20080828
20081716,쌍화점,20081230
20061221,"나의 친구, 그의 아내",20081127
20081132,아기와 나,20080814
20071675,더 게임,20080130
20070291,무림여대생,20080626
20080750,달콤한 거짓말,20081218
20071064,무방비도시,20080110
20070660,뜨거운 것이 좋아,20080117
20081001,신기전,20080904
20071067,슈퍼맨이었던 사나이,20080131
20080736,강철중: 공공의 적 1-1,20080619
