movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
535389,안시성,안시성,2018-09-19,13305000,41509280,6.8,135,2018,9,1139243,Kim Kwang-sik,127564|1459772|139493|573794|1436248|1374514|564844|1856377|1142181|80654,조인성|남주혁|박성웅|배성우|Um Tae-goo|김설현|박병은|오대환|정은채|유오성
544627,암수살인,암수살인,2018-10-03,7120949,29433930,6.628,110,2018,10,2115600,김태균,75912|150125|1077269|1989290|2240611|1112238|1330450|2004692|139514|2240617,김윤석|주지훈|문정희|진선규|정종준|허진|김중기|김영웅|Jeong Gi-seop|김미화
567646,극한직업,극한직업,2019-01-23,8120000,124652206,7.144,111,2019,1,1456792,이병헌,227638|1364528|1989290|1418580|1333031|25004|998412|1347175|1654631|1418582,류승룡|이하늬|진선규|이동휘|공명|신하균|오정세|김의성|송영규|허준석
571783,자전차왕 엄복동,자전차왕 엄복동,2019-02-27,12547000,1091477,6.7,118,2019,2,138528,Kim Yoo-sung,112013|1295457|86330|150697|550683|1257593|1348599|1295461|992630|1676561,비|강소라|이범수|고창석|김희원|민효린|이시언|박진주|정석원|최대철
572164,엑시트,엑시트,2019-07-31,10892000,69501772,7.652,103,2019,7,2206352,이상근,1223316|1252045|936000|1277308|231477|1648169|1171953|2119922|1643721|2133921,조정석|윤아|고두심|박인환|김지영|강기영|김종구|Kim Byeong-soon|Hwang Hyo-eun|이봉련
575718,해치지않아,해치지않아,2020-01-15,8100000,8300000,6.221,117,2020,1,109305,Son Jae-gon,1164507|1295457|80656|147505|2067860|587676|1591370|1487428|1057068|1444366,안재홍|강소라|박영규|김성오|전여빈|박혁권|서현우|장승조|한예리|김기천
581387,백두산,백두산,2019-12-19,17700000,61321941,6.816,128,2019,12,1293085,김병서,25002|75913|1024395|150126|1014784|231476|2115785|2260893|2133924|2485848,이병헌|하정우|마동석|전혜진|수지|이경영|김시아|이상원|옥자연|최광일
581392,반도,반도,2020-07-15,17000000,42698327,6.748,115,2020,7,939147,연상호,83014|1244822|1299244|554945|573792|1096458|1793046|1924149|2478781|463583,강동원|이정현|이레|권해효|김민재|구교환|김도윤|Lee Ye-won|김규백|장소연
581526,다만 악에서 구하소서,다만 악에서 구하소서,2020-08-05,12000000,34662454,6.88,108,2020,8,75918,홍원찬,68903|73249|571172|1447365|1856377|1694435|88298|2204527|1102621|2854670,황정민|이정재|박정민|최희서|오대환|박명훈|송영창|이서환|วิทยา ปานศรีงาม|김민식
581528,악인전,악인전,2019-05-15,6500000,25775371,7.849,112,2019,5,1910480,Lee Won-tae,1024395|84788|2159394|1332468|1336804|2204527|1338162|1246931|1128004|1136064,마동석|김무열|김성규|허동원|유재명|이서환|오희준|김규리|유승목|류태호
591120,해적: 도깨비 깃발,해적: 도깨비 깃발,2022-01-26,19597380,10247262,6.5,126,2022,1,1879192,Kim Joung-hoon,1257899|240145|1326172|1233094|1466233|1578115|147505|1078674|1020859|2150704,강하늘|한효주|이광수|권상우|채수빈|세훈|김성오|박지환|성동일|김기두
601796,외계+인 1부,외계+인 1부,2022-07-20,24500000,12109608,6.831,142,2022,7,119337,최동훈,1530733|1257671|1537768|932821|37939|1566012|1347175|1364528|578838|2478780,류준열|김우빈|김태리|소지섭|염정아|조우진|김의성|이하늬|신정근|이시훈
602463,인질,인질,2021-08-18,6144000,13000000,6.9,93,2021,8,2313022,필감성,68903|1998157|1985557|2239782|3627021|3627019|2265560|2760817|2747563|3138793,황정민|Kim Jae-bum|이유미|류경수|Jung Jae-won|Lee Gyu-woon|이호정|조경현|신현종|백주희
