movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
281167,하늘의 황금마차,하늘의 황금마차,2014-07-10,0,0,0.0,84,2014.0,7.0,1124210,오멸,1124214|2813922|2976928|2972583,Moon Suk-bum|Yang Jung-won|Lee Kyung-joon|Kim Dong-ho
281298,신의 한 수,신의 한 수,2014-07-03,0,27926871,6.8,118,2014.0,7.0,934324,Cho Beom-gu,17120|86330|17121|115904|138532,정우성|이범수|안성기|김인권|이시영
281426,여배우는 너무해,여배우는 너무해,2014-02-27,0,0,4.3,95,2014.0,2.0,2154410,Yoo Jeong-hwan,127705|1226340|1257661|138512|2154411,차예련|조현재|이엘|김영준|Lee Geon-ju
281780,군도: 민란의 시대,군도: 민란의 시대,2014-07-23,0,0,6.7,137,2014.0,7.0,1024391,윤종빈,75913|83014|231476|141548|138336,하정우|강동원|이경영|이성민|조진웅
281863,"자, 이제 댄스타임","자, 이제 댄스타임",2014-06-26,0,0,0.0,83,2014.0,6.0,1852056,조세영,,
282058,두근두근 내 인생,두근두근 내 인생,2014-09-03,0,0,7.3,117,2014.0,9.0,123661,이재용,74421|83014|2163424|138518|1418582,송혜교|강동원|Jo Sung-mok|백일섭|허준석
282059,더 엑스,더 엑스,2013-10-04,0,0,4.2,30,2013.0,10.0,69081,김지운,83014|116175|929122|550683|564848,강동원|신민아|이솜|김희원|Jo Deok-jae
282153,개를 훔치는 완벽한 방법,개를 훔치는 완벽한 방법,2014-12-31,0,0,7.3,110,2014.0,12.0,1006867,Kim Sung-ho,126478|1299244|127798|1299317|233437,김혜자|이레|최민수|강혜정|이천희
282331,선지자의 밤,선지자의 밤,2014-07-19,0,0,6.0,82,2014.0,7.0,1342482,Kim Sung-moo,1421187|1488075|1864515|2122687,이미소|Kim Young-pil|홍완표|이옥섭
282631,명량,명량,2014-07-30,9500000,138342258,6.988,128,2014.0,7.0,1049134,김한민,64880|227638|138336|1299287|1244822,최민식|류승룡|조진웅|진구|이정현
