movie_id,director_name_ko,cast_names_ko
20060420,박정우,감우성|김수로|이준원|최정우|김혁|강성진|이도겸|문정희|김영옥|이진영
20070084,장규성,차승원|유해진|최정원|김응수|강귀호|남일우|변희봉|전원주|이원종|염정아
20070042,정윤철,천호진|문희경|김혜수|유아인|황보라|하은설|정유미|이기우|임혁필|이용범
20070104,김한민,박해일|박솔미|성지루|김광수|유혜정|이대연|김인문|오정세|김병춘|박길수
20070110,박규태,권오중|최우혁|정진영|김병철|임성희|강남규|정효영|조범규|문가영|신정근
20070096,박광수,박신양|서신애|예지원|김도연|김선화|김동환|이주용|류승수|조민규|김원섭
20070097,지길웅,이청아|박기웅|이상헌|조달환|이영하|양금석|최일화|신선주|조성호|박충재
20070072,한재림,송강호|박지영|오달수|김소은|윤제문|최일화|이대연|오정세|김혜진|최재연
20070099,임권택,조재현|오정해|조경화|오승은|장민호|김효신|신경호|조영재|서명희|류태호
20070151,김성욱,김수미|김애경|유진|하석진|임채무|임채무|윤다훈|성은|김경욱|최기석
20070115,이창동,전도연|송강호|조영진|김영재|김종수|오만석|김미경|김영선|김미향|이민호
20070111,장진,차승원|류덕환|김지영|이상훈|유해진|이한위|배성일|진원|김윤혜|김현준
20060230,김지환,박신혜|양금석|재희|김민경|최원석|홍성민|안미나|정상훈|박명신|김화영
20070205,신태라,황정민|유선|강신일|김혜정|유승목|정인기|송찬호|최정자|최찬민|김상택
20070206,김진아,하정우|파미가 베라|데이비드 맥기니스|이화시
20070128,장윤현,송혜교|유지태|윤여정|김병철|김유정|이광희|윤영민|류승룡|정유미|김응수
20070293,이권,김기범|김석주|강인|예성|성민|류정아|박정수|신동희(신동)|은혁|한경
20070257,김태경,차예련|조안|이인|홍소희|정아영|이동국
20070250,손태웅,한지민|오태경|온주완|홍희자|예학영|조민기|성창연|박정현|우지현|유선진
20070209,김지훈,김상경|안성기|이요원|이준기|박철민|김하림|김철기|이정국|손병호|이얼
20070262,정범식,김보경|이동규|진구|김태우|김응수|예수정|정지안|데이비드 맥기니스|김종윤|김자영
20070107,손현희,탁재훈|김선아|염정아|박창섭|박현경|이상길|임영식|엄수정|이한나|조희봉
20070305,오기환,윤진서|이기우|박기웅|정욱|김도연|김민경|김소은|이기우|이새별|성민
20070316,심형래,브룩스 아만다|베어 제이슨
20070289,이규만,김명민|김병철|정유석|김태우|유준상|김유미|김뢰하|백승환|김건수|서영화
20070089,김종진,임창정|박진희|김수미|류승범|최우혁|최무인|심원철|박경순|이한위|김광규
20060425,임영성,정준호|김원희|고은아|김지영|정혜영|이한위|김해곤|이승희|신은경|박정우
20070348,강경훈,예지원|정경호|임원희|정두홍|리차드 김|우현|조희봉|김병춘|조은지|윤주상
20070367,정윤수,박용우|한채영|이동건|엄정화|허은|박인영|심준보|이현순|이형숙|강성필
20070421,김상진,강성진|유해진|나문희|백상열|김서현|강경덕|김홍택|신승훈|조영민|백성기
20070379,이석훈,봉태규|정려원|진태현|김혜옥|이영아|강병조|조달환|이혜은|김사희|임성찬
20070381,황동혁,김영철|다니엘 헤니|김인권|이건문|안석환|김호연|전국환|최종률|이상희|최정원
20070393,박영훈,백윤식|임하룡|박준규|이소연|노영국|김성원|강규영|이상경|김태훈|박윤재
20070441,곽경택,주진모|박시연|김민준|주현|김혜정|최지은|임성규|임현성|김광규|박진우
20070383,심승보,손창민|박상면|김성민|서지혜|공정환|이성재|조지훈|전창걸|이승신|공정환
20070358,하명중,하명중|하상원|한혜숙|조영민|노민우|조미정|홍성수|이미애|오유진|정세형
20070380,이준익,김상호|김윤석|주진모|장근석|정진영|김호정|조성구|홍인기|노브레인|정성미
20070497,김미정,박진희|윤세아|류정아|임정은|서영희|김남진|김미경|김현아|김유라|정예지
20070434,라희찬,정재영|손병호|주진모|임지은|이재용|김민진|김규철|이새봄|박성일|박소라
20070023,이언희,이미연|이태란|김준성|이영란|최보윤|마르코|김병춘|윤제문|남정희|김홍표
20070450,이명세,강동원|이연희|공효진|이세련|채호기|서동수|정인기|변상윤|송대중
20070500,강효진,도지원|손현주|박상욱|김병철|김정환|김지완|홍성민|최진리|이주실|서승원
20070433,허진호,황정민|임수정|공효진|조용준|유승목|김기천|박인환|신신애|류승수|신종민
