제목,네티즌점수,네티즌평가수,전문가평점평균,전문가수
아저씨,9.261,29617,6.25,10
악마를 보았다,8.061,14119,5.5,10
죽이고 싶은,7.131,1185,5.041666666666667,6
폐가,7.091,5194,2.1875,4
그랑프리,7.261,1262,2.892857142857143,7
김복남 살인사건의 전말,8.791,4275,7.175,10
무적자,5.531,1862,3.25,4
방가? 방가!,7.921,4824,4.95,10
시라노; 연애조작단,8.731,9623,5.95,10
"울지마, 톤즈",9.471,187,4.0,1
퀴즈왕,5.911,1496,4.7,10
나탈리,4.721,812,2.4583333333333335,6
부당거래,8.731,6817,7.9,10
돌이킬 수 없는,5.101,30,7.0,2
두 여자,6.581,447,5.375,4
불량남녀,8.181,2330,4.392857142857143,7
이층의 악당,8.101,2748,6.425,10
초능력자,6.711,13435,5.575,10
페스티발,7.741,3234,6.75,2
김종욱 찾기,8.291,4626,4.90625,8
라스트 갓파더,6.231,17444,4.107142857142857,7
쩨쩨한 로맨스,8.521,7549,4.964285714285714,7
헬로우 고스트,8.891,12889,4.1875,8
황해,7.991,10809,6.25,9
글러브,8.851,6754,5.1,10
심장이 뛴다,7.531,4334,2.7916666666666665,6
조선명탐정 : 각시투구꽃의 비밀,8.121,9617,4.75,10
평양성,7.781,6113,4.0,6
그대를 사랑합니다,9.341,7679,4.40625,8
만추,7.481,5604,5.1,10
아이들...,7.881,5873,3.857142857142857,7
로맨틱 헤븐,6.521,516,4.15,5
마이 블랙 미니드레스,6.861,1894,3.7083333333333335,6
사랑이 무서워,6.991,1568,1.75,4
위험한 상견례,6.251,1586,4.0,1
세상에서 가장 아름다운 이별,9.281,4047,5.321428571428571,7
수상한 고객들,8.651,3671,4.464285714285714,7
적과의 동침,7.531,1356,4.25,5
써니,9.121,18436,6.425,10
체포왕,7.731,1810,5.9,5
헤드,4.851,584,5.333333333333333,3
회초리,8.061,971,3.0,2
마마,8.421,111,5.75,4
모비딕,7.301,1909,5.0,10
풍산개,7.011,3953,4.194444444444445,9
