movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,audience_total,director_name_ko,cast_names_ko,vote_average_naver,vote_count_naver,critic_average,critic_count
20050142,여고괴담 4 : 목소리,The Voice,ko,2005-07-15,104.0,,2452349500.0,5.15,866,,['공포(호러)'],"[""(주)씨네이천"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜블루캡""]","[""KR""]",2005,7,393569.0,최익환,김옥빈|서지혜|추현경|윤영|최혜윤|차예련|박윤경|이은|김정영|원애리,5.15,866,,0
20050141,천군,Heaven’s Soldiers,ko,2005-07-15,106.0,,5827457500.0,7.121,2666,,['액션'],"[""(주)싸이더스"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""㈜라이브톤"", ""세방현상(주)"", ""유영분장""]","[""KR""]",2005,7,929044.0,민준기,박중훈|황정민|김승우|공효진|최경원|이동석|김병춘|김수현|김응수|박완규,7.121,2666,,0
20050148,친절한 금자씨,Sympathy for Lady Vengeance,ko,2005-07-29,112.0,,20215625393.0,7.601,10190,,['스릴러'],"[""모호필름"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""㈜블루캡"", ""세방현상(주)"", ""(사)부산영상위원회"", ""서울영상위원회"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,7,3079279.0,박찬욱,이영애|최민식|권예영|김시후|남일우|김병옥|오달수|이승신|김부선|라미란,7.601,10190,,0
20050160,가발,The wig,ko,2005-08-12,106.0,,2575393000.0,5.19,647,,['공포(호러)'],"[""코리아 엔터테인먼트"", ""씨제이엔터테인먼트"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""세방현상(주)""]","[""KR""]",2005,8,409483.0,원신연,방중현|채민서|유선|이윤희|류현민|서현선|진용욱,5.19,647,4.8,5
20050178,박수칠 때 떠나라,"Murder, Take One",ko,2005-08-11,115.0,,13118633500.0,7.771,3855,,"['드라마', '코미디', '미스터리']","[""(주)어나더썬데이"", ""(주)시네마서비스"", ""(주)시네마서비스"", ""씨제이엔터테인먼트"", ""㈜라이브톤"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,8,2063656.0,장진,차승원|신하균|김지수|박정아|조정진|정영호|박은주|인정주|정규수|임미연,7.771,3855,6.8,5
20050180,웰컴 투 동막골,Welcome To Dongmakgol,ko,2005-08-04,133.0,,40180937500.0,8.891,10429,,"['전쟁', '드라마']","[""필름있수다"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""소빅창업투자(주)"", ""(주)쇼박스"", ""씨 47"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,8,6413223.0,박광현,신하균|정재영|강혜정|리민|류덕환|임하룡|강남석|손재영|이다운|서재경,8.891,10429,8.0,1
20050189,"이대로, 죽을 순 없다(Short Time)",Short Time,ko,2005-08-18,106.0,,4189421000.0,6.53,785,,['코미디'],"[""(주)매쉬필름"", ""쇼이스트(주)"", ""쇼이스트(주)"", ""엠라인디스트리뷰션(주)"", ""세방현상(주)"", ""(사)부산영상위원회"", ""서울영상위원회""]","[""KR""]",2005,8,666913.0,이영은,이범수|최성국|손현주|류용진|추자현|유해진|류태호|박충선|조민기|오지혜,6.53,785,4.667,3
20050190,첼로-홍미주 일가 살인사건,Cello,ko,2005-08-18,94.0,,953072000.0,4.121,433,,['공포(호러)'],"[""탁함 필름"", ""(주)튜브엔터테인먼트"", ""소빅창업투자(주)"", ""(주)나이너스엔터테인먼트""]","[""KR""]",2005,8,153169.0,이우철,성현아|정호빈|박다안|정우철|최지은|최윤희|왕빛나|최장원|김윤예|박정호,4.121,433,2.75,4
20050219,가문의 위기,Marrying the Mafia 2: Enemy-in-Law,ko,2005-09-07,115.0,,28485712000.0,6.33,3660,,['코미디'],"[""(주)태원엔터테인먼트"", ""(주)쇼박스"", ""(주)쇼박스"", ""(주)쇼박스"", ""세방현상(주)"", ""플러스 액션 스턴트팀"", ""(사)한국농아인협회"", ""한국시각장애인연합회""]","[""KR""]",2005,9,4508292.0,정용기,신현준|김수미|김원희|정준하|최은주|임형준|공형진|탁재훈|정호빈|김해곤,6.33,3660,5.0,5
20050233,강력 3반,Never to Lose,ko,2005-09-29,111.0,,4939380000.0,6.471,1635,,['액션'],"[""(주)씨네넷"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""롯데쇼핑㈜롯데엔터테인먼트"", ""(주)미로비젼"", ""모네프(주)""]","[""KR""]",2005,9,808897.0,손희창,김민준|허준호|남상미|김정태|장항선|남문철|윤지혜|조성하|김응수|김광일,6.471,1635,6.0,1
