movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month
94047,마이웨이,마이웨이,ko,2011-12-21,137,25500000,16653488,7.883,416,2.4363,"['드라마', '액션', '역사', '전쟁']","['CJ Entertainment', 'Directors', 'SK Planet']",['KR'],2011.0,12.0
94452,눈부신 날에,눈부신 날에,ko,2007-04-19,113,0,0,4.6,5,0.4639,['드라마'],"['iFilm', 'Cinema Service']",['KR'],2007.0,4.0
94555,원더풀 라디오,원더풀 라디오,ko,2012-01-05,120,0,0,6.2,17,1.9578,['드라마'],"['Daemyung Culture Factory', 'iVision Entertainment', 'Showbox']",['KR'],2012.0,1.0
95179,Mr. 아이돌,Mr. 아이돌,ko,2011-11-03,113,0,0,4.8,9,0.8409,"['음악', '코미디', '드라마']","['Daisy Entertainment', 'Lotte Entertainment', 'Cinergy House']",['KR'],2011.0,11.0
95893,투혼,투혼,ko,2011-10-06,84,0,0,5.0,1,1.0073,['드라마'],"['Lotte Entertainment', 'Cinema Zenith Entertainment']",['KR'],2011.0,10.0
95895,결정적 한방,결정적 한방,ko,2011-12-07,100,0,0,7.0,1,1.191,"['드라마', '코미디']","['9ers Entertainment', 'Hwa&Dam Pictures', 'OD ENT']",['KR'],2011.0,12.0
95910,행복,행복,ko,2007-10-03,121,0,0,6.9,30,0.6726,"['로맨스', '드라마']","['Zip Cinema', 'Showbox']",['KR'],2007.0,10.0
95916,에일리언 비키니,에일리언 비키니,ko,2011-11-25,75,4300,0,5.0,16,0.297,"['SF', '코미디', '로맨스']",[],['KR'],2011.0,11.0
96954,더 게임,더 게임,ko,2008-01-31,116,0,0,5.7,30,0.7505,"['스릴러', '드라마']",['Prime Entertainment'],['KR'],2008.0,1.0
99391,가시,가시,ko,2011-10-08,110,0,0,6.0,1,0.2351,[],"['Korean Academy of Film Arts', 'CJ Entertainment', 'CJ CGV']",['KR'],2011.0,10.0
99511,로맨스 조,로맨스 조,ko,2012-03-08,115,0,0,6.0,5,1.8481,"['로맨스', '드라마']",['Bori Pictures'],['KR'],2012.0,3.0
99513,줄탁동시,줄탁동시,ko,2012-03-01,117,0,0,5.7,11,0.5265,['드라마'],['Indiestory'],['KR'],2012.0,3.0
100702,기생령,기생령,ko,2011-08-04,92,0,0,5.5,18,1.6355,"['공포', '스릴러']",['Lotte Entertainment'],['KR'],2011.0,8.0
101766,맨발의 꿈,맨발의 꿈,ko,2010-06-24,121,0,0,7.1,12,1.4422,"['드라마', '코미디']","['Showbox', 'Camp B']",['KR'],2010.0,6.0
102628,렛 미 아웃,렛 미 아웃,ko,2012-04-01,97,0,0,6.0,1,0.899,"['드라마', '코미디']",['BaekDu-DaeGan Flims'],['KR'],2012.0,4.0
103273,물고기,물고기,ko,2011-07-10,98,0,0,8.0,1,0.0937,"['드라마', '미스터리']",['Dima Entertainment'],['KR'],2011.0,7.0
103442,"양 한 마리, 양 두 마리","양 한 마리, 양 두 마리",ko,2011-12-01,104,0,0,5.0,1,0.0429,['드라마'],[],['KR'],2011.0,12.0
103608,사물의 비밀,사물의 비밀,ko,2011-11-17,112,0,0,5.0,8,0.7212,"['드라마', '로맨스']",[],[],2011.0,11.0
103750,돈의 맛,돈의 맛,ko,2012-05-17,115,0,0,5.6,60,1.5572,['드라마'],"['Above the Line Productions', 'Lotte Entertainment', 'kth', 'Cinergy House']",['KR'],2012.0,5.0
103753,다른 나라에서,다른 나라에서,ko,2012-05-31,88,0,0,6.2,114,0.8526,['드라마'],['Jeonwonsa Film'],['KR'],2012.0,5.0
104176,그놈 목소리,그놈 목소리,ko,2007-02-01,122,0,0,6.6,78,1.1533,"['스릴러', '드라마', '범죄', '미스터리']","['Zip Cinema', 'CJ Entertainment']",['KR'],2007.0,2.0
104858,아리랑,아리랑,ko,2011-12-08,100,0,0,6.353,34,0.4415,"['다큐멘터리', '드라마']",['Kim Ki Duk Film'],['KR'],2011.0,12.0
106505,도살자,도살자,ko,2007-07-25,75,0,0,5.2,18,0.389,"['공포', '액션']",['Devil Groove Pictures'],['KR'],2007.0,7.0
107235,건축학개론,건축학개론,ko,2012-03-22,118,0,0,7.4,131,1.3311,"['코미디', '로맨스']",['Myung Films'],['KR'],2012.0,3.0
107434,러브픽션,러브픽션,ko,2012-02-29,121,0,0,6.7,23,1.7719,"['코미디', '로맨스']","['Fantagio', 'Next Entertainment World']",['KR'],2012.0,2.0
107540,여교수의 은밀한 매력,여교수의 은밀한 매력,ko,2006-03-16,104,0,0,4.235,17,1.0703,"['코미디', '로맨스']","['Myung Films', 'MK Pictures', 'Korean Film Council', 'Pancinema', 'KD Media', 'OCN', 'Angel Underground']",['KR'],2006.0,3.0
107976,검은 집,검은 집,ko,2007-06-21,103,0,0,6.1,58,0.58,"['공포', '스릴러']","['KADOKAWA', 'CJ Entertainment']",['KR'],2007.0,6.0
108008,슬리핑 뷰티,슬리핑 뷰티,ko,2008-10-23,109,0,0,0.0,0,0.9895,['드라마'],[],['KR'],2008.0,10.0
108357,종로의 기적,종로의 기적,ko,2011-06-02,109,0,0,6.0,1,0.1771,['다큐멘터리'],"['PINKS', 'Cinema Dal']",['KR'],2011.0,6.0
108360,댄스 타운,댄스 타운,ko,2011-03-13,95,0,0,6.2,2,0.321,['드라마'],['TreeFilm'],['KR'],2011.0,3.0
108513,실종,실종,ko,2009-03-19,98,0,0,5.971,35,1.3597,"['스릴러', '공포']",['Cinergy House'],['KR'],2009.0,3.0
108709,우리 만난 적 있나요,우리 만난 적 있나요,ko,2010-11-25,100,0,0,5.8,4,0.7141,"['드라마', '판타지', '로맨스']",[],['KR'],2010.0,11.0
108778,마이 파더,마이 파더,ko,2007-09-06,105,0,0,6.3,6,1.2295,['드라마'],"['Lotte Entertainment', 'Cineline 2']",['KR'],2007.0,9.0
108800,무법자,무법자,ko,2010-03-18,93,0,0,5.2,4,1.9553,['범죄'],"['Next Entertainment World', 'Chung Gang Story', 'Finecut']",['KR'],2010.0,3.0
108805,경의선,경의선,ko,2007-05-10,107,0,0,6.5,8,0.8061,"['드라마', '로맨스']","['KM Culture', 'Showbox', 'Korean Film Council']",['KR'],2007.0,5.0
108823,은하해방전선,은하해방전선,ko,2007-11-29,85,0,0,4.5,3,0.9843,"['코미디', '드라마']","['Generation Blue Films', 'Indiestory']",['KR'],2007.0,11.0
108972,화차,화차,ko,2012-03-08,117,0,16,7.082,85,1.5371,"['미스터리', '스릴러']",['Filament Pictures'],['KR'],2012.0,3.0
109507,언니가 간다,언니가 간다,ko,2007-01-04,112,0,0,7.0,9,0.5254,"['코미디', '로맨스']","['CJ Entertainment', 'Sio Film', 'Cinema Service']",['KR'],2007.0,1.0
109994,폭풍전야,폭풍전야,ko,2010-04-01,104,0,0,7.0,6,0.4576,"['드라마', '로맨스']",['Opus Pictures'],['KR'],2010.0,4.0
110415,설국열차,설국열차,ko,2013-08-01,127,39200000,86758912,6.906,9937,8.5175,"['액션', 'SF', '드라마']","['Opus Pictures', 'Moho Film', 'CJ Entertainment', 'Union Investment Partners']",['KR'],2013.0,8.0
110730,아주 특별한 손님,아주 특별한 손님,ko,2006-11-30,99,0,0,7.4,8,0.6503,['드라마'],"['Sponge', 'KBS']",['KR'],2006.0,11.0
111928,소원을 말해봐,소원을 말해봐,ko,2010-01-01,66,0,0,3.5,2,0.2013,"['스릴러', '드라마', '범죄']",[],['KR'],2010.0,1.0
112283,너는 내 운명,너는 내 운명,ko,2005-09-23,123,0,0,6.4,32,1.0628,"['로맨스', '드라마']",['Bom Film Productions'],['KR'],2005.0,9.0
113388,코리아,코리아,ko,2012-05-03,127,0,0,7.7,52,1.0731,['드라마'],"['CJ Entertainment', 'The Tower Pictures']",['KR'],2012.0,5.0
113558,사랑은 100℃,사랑은 100℃,ko,2010-04-07,22,0,0,5.8,9,0.65,['로맨스'],['Kim Jho Gwang-soo'],['KR'],2010.0,4.0
113649,귀,귀,ko,2010-06-10,108,0,0,5.4,7,1.0695,"['공포', '스릴러', '로맨스']","['Generation Blue Films', 'CJ Entertainment']",['KR'],2010.0,6.0
114236,별빛 속으로,별빛 속으로,ko,2007-08-09,103,0,0,7.5,4,0.3424,"['로맨스', '드라마', '판타지']",[],['KR'],2007.0,8.0
